name,team,position,rank,projection,proj_3yr,trade_value,source_date
D Adams,LAR,WR,98.0,230.0,578.0,18.0,2026-08-18
M Evans,SF,WR,99.0,218.0,564.0,18.0,2026-08-18
X Worthy,KC,WR,100.0,183.0,511.0,18.0,2026-08-18
M Pittman Jr.,PIT,WR,101.0,202.0,527.0,18.0,2026-08-18
D Boston,CLE,WR,102.0,148.0,520.0,18.0,2026-08-18
J Higgins,HOU,WR,103.0,173.0,512.0,18.0,2026-08-18
C Sutton,DEN,WR,104.0,199.0,536.0,17.0,2026-08-18
S LaPorta,DET,TE,105.0,196.0,478.0,17.0,2026-08-18
M Penix Jr.,ATL,QB,106.0,129.0,616.0,17.0,2026-08-18
K Sadiq,NYJ,TE,107.0,140.0,454.0,17.0,2026-08-18
